Name,Jobs,Machines,AverageMachines,MaxDissimilarity,Beta-Value,C
2b_Hurink_edata42,15,15, 1.15,483.7500,0.0767,37.0875
2b_Hurink_edata43,15,15, 1.15,483.7500,0.0767,37.0875
6_Fattahi17,8,7, 2.4,108.8000,0.3429,37.3029
2a_Hurink_sdata3,20,5, 1,200.0000,0.2000,40.0000
2a_Hurink_sdata14,20,5, 1,200.0000,0.2000,40.0000
2a_Hurink_sdata15,20,5, 1,200.0000,0.2000,40.0000
2a_Hurink_sdata16,20,5, 1,200.0000,0.2000,40.0000
2a_Hurink_sdata17,20,5, 1,200.0000,0.2000,40.0000
2a_Hurink_sdata18,20,5, 1,200.0000,0.2000,40.0000
2a_Hurink_sdata29,20,10, 1,400.0000,0.1000,40.0000
2a_Hurink_sdata30,20,10, 1,400.0000,0.1000,40.0000
2a_Hurink_sdata31,20,10, 1,400.0000,0.1000,40.0000
2a_Hurink_sdata32,20,10, 1,400.0000,0.1000,40.0000
2a_Hurink_sdata33,20,10, 1,400.0000,0.1000,40.0000
2a_Hurink_sdata46,20,15, 1,600.0000,0.0667,40.0000
2a_Hurink_sdata47,20,15, 1,600.0000,0.0667,40.0000
2a_Hurink_sdata48,20,15, 1,600.0000,0.0667,40.0000
6_Fattahi19,11,8, 2.3,145.2000,0.2875,41.7450
2c_Hurink_rdata55,7,7, 2,147.0000,0.2857,42.0000
6_Fattahi20,12,8, 2.3,158.4000,0.2875,45.5400
2c_Hurink_rdata54,8,9, 2,216.0000,0.2222,48.0000
2c_Hurink_rdata56,8,8, 2,192.0000,0.2500,48.0000
2b_Hurink_edata3,20,5, 1.15,215.0000,0.2300,49.4500
2b_Hurink_edata14,20,5, 1.15,215.0000,0.2300,49.4500
2b_Hurink_edata15,20,5, 1.15,215.0000,0.2300,49.4500
2b_Hurink_edata16,20,5, 1.15,215.0000,0.2300,49.4500
2b_Hurink_edata17,20,5, 1.15,215.0000,0.2300,49.4500
2b_Hurink_edata18,20,5, 1.15,215.0000,0.2300,49.4500
2b_Hurink_edata29,20,10, 1.15,430.0000,0.1150,49.4500
2b_Hurink_edata30,20,10, 1.15,430.0000,0.1150,49.4500
2b_Hurink_edata31,20,10, 1.15,430.0000,0.1150,49.4500
2b_Hurink_edata32,20,10, 1.15,430.0000,0.1150,49.4500
2b_Hurink_edata33,20,10, 1.15,430.0000,0.1150,49.4500
2b_Hurink_edata46,20,15, 1.15,645.0000,0.0767,49.4500
2b_Hurink_edata47,20,15, 1.15,645.0000,0.0767,49.4500
2b_Hurink_edata48,20,15, 1.15,645.0000,0.0767,49.4500
1_Brandimarte1,10,6, 2,165.0000,0.3333,55.0000
2c_Hurink_rdata63,10,10, 2,297.0000,0.2000,59.4000
2a_Hurink_sdata34,30,10, 1,600.0000,0.1000,60.0000
2a_Hurink_sdata35,30,10, 1,600.0000,0.1000,60.0000
2a_Hurink_sdata36,30,10, 1,600.0000,0.1000,60.0000
2a_Hurink_sdata37,30,10, 1,600.0000,0.1000,60.0000
2a_Hurink_sdata38,30,10, 1,600.0000,0.1000,60.0000
2c_Hurink_rdata2,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata4,10,5, 2,150.0000,0.4000,60.0000
2c_Hurink_rdata5,10,5, 2,150.0000,0.4000,60.0000
2c_Hurink_rdata6,10,5, 2,150.0000,0.4000,60.0000
2c_Hurink_rdata7,10,5, 2,150.0000,0.4000,60.0000
2c_Hurink_rdata8,10,5, 2,150.0000,0.4000,60.0000
2c_Hurink_rdata19,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata20,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata21,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata22,10,10, 2,300.0000,0.2000,60.0000
2c_Hurink_rdata23,10,10, 2,300.0000,0.2000,60.0000
