Source;Instance;Runtime;Function-Evaluations;Generations;Restarts;Best-Fitness;Adjustable
--------------------------------------------------------
20% ELITISM, TOURNAMENT SELECTION
--------------------------------------------------------
5_Kacem;1;2.1451845169067383;18000;326;3;11;True
5_Kacem;1;0.33934807777404785;3710;132;1;11;True
5_Kacem;1;0.12186241149902344;1405;70;0;11;True
5_Kacem;1;0.3984713554382324;4570;166;1;11;True
5_Kacem;1;0.38543272018432617;4350;173;1;11;True
5_Kacem;1;0.1963510513305664;2285;114;0;11;True
5_Kacem;1;0.06806302070617676;725;36;0;11;True
5_Kacem;1;0.14512920379638672;1665;83;0;11;True
5_Kacem;1;0.6245837211608887;6370;205;1;11;True
5_Kacem;1;0.4774351119995117;5590;207;1;11;True
5_Kacem;1;0.1311197280883789;1585;79;0;11;True
5_Kacem;1;1.0108997821807861;10485;280;2;11;True
5_Kacem;1;0.5174729824066162;6090;221;1;11;True
5_Kacem;1;1.0312283039093018;10685;279;2;11;True
5_Kacem;1;0.4169893264770508;4770;169;1;11;True
5_Kacem;1;0.43439340591430664;4950;172;1;11;True
5_Kacem;1;0.07827925682067871;865;43;0;11;True
5_Kacem;1;0.07206845283508301;785;39;0;11;True
5_Kacem;1;0.09808731079101562;1145;57;0;11;True
5_Kacem;1;0.5916805267333984;6810;239;1;11;True
5_Kacem;1;0.6499462127685547;7450;236;1;11;True
5_Kacem;1;0.4587697982788086;5230;166;1;11;True
5_Kacem;1;0.2326521873474121;2885;144;0;11;True
5_Kacem;1;0.0419917106628418;425;21;0;11;True
5_Kacem;1;0.30400872230529785;5310;198;1;11;False
5_Kacem;1;0.27401232719421387;4510;149;1;11;False
5_Kacem;1;0.03137493133544922;465;23;0;11;False
5_Kacem;1;0.6791262626647949;9705;278;2;11;False
5_Kacem;1;0.6175825595855713;8505;225;2;11;False
5_Kacem;1;0.3613283634185791;6430;222;1;11;False
5_Kacem;1;0.04303884506225586;765;38;0;11;False
5_Kacem;1;0.6524062156677246;9105;229;2;11;False
5_Kacem;1;0.027023792266845703;425;21;0;11;False
5_Kacem;1;0.6115622520446777;8445;216;2;11;False
5_Kacem;1;0.408372163772583;7270;221;1;11;False
5_Kacem;1;0.15962433815002441;3385;169;0;11;False
5_Kacem;1;1.5982954502105713;18700;331;3;11;False
5_Kacem;1;0.06305694580078125;1125;56;0;11;False
5_Kacem;1;0.05304670333862305;1005;50;0;11;False
5_Kacem;1;0.34569454193115234;6050;195;1;11;False
5_Kacem;1;0.07526731491088867;1545;77;0;11;False
5_Kacem;1;0.2313065528869629;3570;128;1;11;False
5_Kacem;1;0.2772510051727295;4650;170;1;11;False
5_Kacem;1;0.3052971363067627;5130;171;1;11;False
5_Kacem;1;0.057051658630371094;1025;51;0;11;False
5_Kacem;1;0.08207345008850098;1665;83;0;11;False
5_Kacem;1;0.056559085845947266;1105;55;0;11;False
5_Kacem;1;0.40537309646606445;7270;237;1;11;False
5_Kacem;1;0.09159326553344727;1785;89;0;11;False
5_Kacem;1;0.2912638187408447;4990;194;1;11;False
5_Kacem;1;0.10509824752807617;2185;109;0;11;False
5_Kacem;1;0.11802244186401367;2465;123;0;11;False
5_Kacem;1;0.07106494903564453;1425;71;0;11;False
